current_price,competitor_price,recommended_price,action,confidence,positioning
33.5,29.69,30.85,decrease,0.987,Overpriced
63.01,66.16,63.01,hold,0.999,Competitive
27.99,31.32,27.99,hold,0.999,Underpriced
32.72,34.74,32.72,hold,0.999,Competitive
73.64,68.95,67.75,decrease,1.0,Competitive
76.83,79.35,76.83,hold,0.999,Competitive
34.16,36.55,34.16,hold,0.999,Competitive
97.99,100.09,97.99,hold,0.999,Competitive
20.74,17.66,19.09,decrease,0.993,Overpriced
59.99,61.21,59.99,hold,1.0,Competitive
58.53,61.42,58.53,hold,0.999,Competitive
58.25,62.21,58.25,hold,1.0,Competitive
43.6,46.31,43.6,hold,1.0,Competitive
78.11,80.06,78.11,hold,1.0,Competitive
92.99,95.8,92.99,hold,0.999,Competitive
21.9,20.27,20.15,decrease,1.0,Competitive
21.07,16.49,19.39,decrease,0.994,Overpriced
19.57,23.13,19.57,hold,0.996,Underpriced
73.28,77.26,73.28,hold,0.999,Competitive
30.24,27.1,27.84,decrease,0.991,Overpriced
32.8,30.78,30.18,decrease,1.0,Competitive
46.16,45.21,42.47,decrease,1.0,Competitive
20.46,22.0,20.46,hold,0.999,Competitive
26.19,28.06,26.19,hold,1.0,Competitive
83.29,80.64,76.63,decrease,1.0,Competitive
85.59,86.82,85.59,hold,0.999,Competitive
91.13,93.33,100.24,increase,1.0,Competitive
66.96,65.36,61.6,decrease,1.0,Competitive
81.29,82.06,81.29,hold,1.0,Competitive
60.84,65.22,60.84,hold,0.999,Competitive
34.62,33.98,31.85,decrease,1.0,Competitive
19.56,19.01,18.0,decrease,1.0,Competitive
57.78,58.5,57.78,hold,0.999,Competitive
91.28,90.85,91.28,hold,1.0,Competitive
59.9,55.23,55.11,decrease,1.0,Competitive
45.65,42.17,42.0,decrease,1.0,Competitive
11.71,10.0,11.71,hold,0.994,Overpriced
58.84,54.39,54.13,decrease,1.0,Competitive
84.99,81.02,78.19,decrease,1.0,Competitive
87.1,91.56,87.1,hold,0.999,Competitive
67.21,67.39,67.21,hold,0.999,Competitive
28.2,25.63,25.94,decrease,1.0,Overpriced
56.16,57.16,56.16,hold,1.0,Competitive
89.53,93.6,89.53,hold,1.0,Competitive
97.95,93.54,97.95,hold,1.0,Competitive
76.37,71.38,70.26,decrease,1.0,Competitive
86.99,90.5,86.99,hold,1.0,Competitive
66.53,70.46,66.53,hold,1.0,Competitive
74.86,73.93,68.87,decrease,1.0,Competitive
97.09,95.8,89.32,decrease,1.0,Competitive
56.19,57.85,56.19,hold,0.999,Competitive
90.38,89.52,83.15,decrease,1.0,Competitive
73.98,76.65,73.98,hold,1.0,Competitive
79.03,82.51,79.03,hold,0.999,Competitive
27.72,23.28,25.52,decrease,0.994,Overpriced
98.18,99.58,98.18,hold,0.999,Competitive
27.1,27.4,27.1,hold,0.999,Competitive
97.08,94.88,89.31,decrease,1.0,Competitive
26.71,24.81,24.57,decrease,1.0,Competitive
95.85,95.7,95.85,hold,1.0,Competitive
15.62,16.09,15.62,hold,0.999,Competitive
41.13,45.05,41.13,hold,0.999,Competitive
89.32,93.0,89.32,hold,0.999,Competitive
87.23,90.36,87.23,hold,1.0,Competitive
81.72,85.22,81.72,hold,0.999,Competitive
41.35,39.86,41.35,hold,1.0,Competitive
67.26,64.78,61.88,decrease,1.0,Competitive
85.88,86.14,85.88,hold,1.0,Competitive
59.23,61.1,59.23,hold,1.0,Competitive
33.48,37.15,33.48,hold,0.998,Competitive
54.84,57.76,54.84,hold,1.0,Competitive
14.25,18.56,14.25,hold,1.0,Underpriced
61.81,63.92,61.81,hold,1.0,Competitive
66.94,68.47,66.94,hold,1.0,Competitive
60.54,65.27,60.54,hold,0.999,Competitive
94.26,96.74,94.26,hold,1.0,Competitive
25.55,28.07,25.55,hold,1.0,Competitive
16.73,18.79,16.73,hold,1.0,Underpriced
71.2,73.85,71.2,hold,0.999,Competitive
11.5,9.26,10.59,decrease,0.994,Overpriced
70.33,70.29,64.7,decrease,1.0,Competitive
57.15,60.71,57.15,hold,0.999,Competitive
36.17,40.93,36.17,hold,0.999,Underpriced
50.77,54.7,50.77,hold,0.999,Competitive
92.86,96.3,92.86,hold,1.0,Competitive
60.76,61.15,60.76,hold,0.999,Competitive
46.47,50.84,46.47,hold,0.999,Competitive
34.08,30.44,34.08,hold,0.994,Overpriced
87.81,85.45,80.79,decrease,1.0,Competitive
